chemin,ayant-droits,droits
/,.CN=FilrProxy.O=CR.T=RLR.,rwcefms
/DSI,.CN=GUP-DSI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI,.CN=GUP-TME.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI,.CN=Dezael_f.OU=RMP.O=CR.T=RLR.,rwcefm
/DSI,.CN=BRETONG.OU=Toulouse.O=CR.T=RLR.,rwcefm
/Finances,.CN=GUP-Finances.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Secrétariat Présidence,.CN=GUP-Secrétariat Présidence.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Secrétariat DGS,.CN=GUP-Secrétariat DGS.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGS-DGD,.CN=GUP-DGS-DGD.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-DEIA,.CN=GUP-DGD-DEIA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-DTAS,.CN=GUP-DGD-DTAS.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSOL,.CN=GUP-DSOL.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DITM,.CN=GUP-DITM.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DATRM,.CN=GUP-DATRM.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-ADMTM,.CN=GUP-DGD-ADMTM.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DTT,.CN=GUP-DTT.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DIGS,.CN=GUP-DIGS.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSGA,.CN=GUP-DSGA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DTEE,.CN=GUP-DTEE.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DREI,.CN=GUP-DREI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DDA,.CN=GUP-DDA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Com-Interne,.CN=GUP-Com-Interne.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DRH,.CN=GUP-DRH.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Echange,.OU=Service_Informatique.O=CR.T=RLR.,rwcefm
/Echange,.OU=Service_Hotline.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_Courrier.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.CN=Master_seven.O=CR.T=RLR.,rwcefm
/Echange,.OU=Accueil.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=Cabinet.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=CASSC.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=Ces.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=Communication.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_Administration_Interne.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_DRH.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_Juridique.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_Pce.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_SecGal.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-1_VPPR.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2_Controle_Gestion.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2_DCP.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2_Doc_Archives.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2_Finances.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2_Sante.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3_Apprentissage.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3_Education.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3_Form_Pro.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3_Fse.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3_Jeunesse.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=Dgs.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=Vice-Presidents.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-2_Sports.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-3_Desr.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4_Commun.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4_Culture.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4_DDE.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4_DRAEL.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4_SRI.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-4_Tourisme.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-5.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-5_DAT.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-5_Developpement-Territorial.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-5_DTC.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=DGA-5_Environnement.OU=CR_MILLENAIRE.O=CR.T=RLR.,rwcefm
/Echange,.OU=Toulouse.O=CR.T=RLR.,rwcefm
/DGD-JEFS,.CN=GUP-DGD-JEFS.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DPEC,.CN=GUP-DPEC.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DPMG,.CN=GUP-DPMG.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DAJ,.CN=GUP-DAJ.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DMOE,.CN=GUP-DMOE.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/SGS,.CN=GUP-SGS.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/SGS,.CN=Pedrosa_v.OU=Service_Informatique.O=CR.T=RLR.,rwcefm
/Reseau assistantes,.CN=GUP-Reseau-assistantes.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Maisons_de_Region,.CN=GUP-Maisons-de-Region.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/SGCT,.CN=GUP-SGCT.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DCPA,.CN=GUP-DCPA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/MAIA,.CN=GUP-MAIA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DCP,.CN=GUP-DCP.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSPO,.CN=GUP-DSPO.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DRTES,.CN=GUP-DRTES.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DCIC,.CN=GUP-DCIC.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEJ,.CN=GUP-DEJ.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DPFON,.CN=GUP-DPFON.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DAAF,.CN=GUP-DAAF.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEJ-E-QVL-SN,.CN=GUP-DEJ-E-QVL-SN.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF-SA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF-SEOP.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF-SQP.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF-SGPE.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF,.CN=GUP-DEF-SNC.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
