,MemberOf,SAMAccountName,Volume,_id
0,TRVGRP-APP-f166b8727b,CTRL_FISCAL,VOLDATAG,5a099c206be3647bbe18b364
1,TRVGRP-APP-f166b8727b,GRETAR_APP,VOLDATAG,5a099c206be3647bbe18b367
2,TRVGRP-ECH-1a3fc42d5a,ACHATS,VOLDATAG,5a099c206be3647bbe18b36c
3,TRVGRP-ECH-1a3fc42d5a,FLDN,VOLDATAG,5a099c206be3647bbe18b36f
4,TRVGRP-ECH-1a3fc42d5a,ACHATS2,VOLDATAG,5a099c206be3647bbe18b372
5,TRVGRP-ECH-1a3fc42d5a,ANNUAIRE,VOLDATAG,5a099c206be3647bbe18b375
6,TRVGRP-ECH-1a3fc42d5a,ASSURANCES,VOLDATAG,5a099c206be3647bbe18b378
7,TRVGRP-ECH-1a3fc42d5a,AUTOLIB,VOLDATAG,5a099c206be3647bbe18b37b
8,TRVGRP-ECH-1a3fc42d5a,BFR,VOLDATAG,5a099c206be3647bbe18b37e
9,TRVGRP-ECH-1a3fc42d5a,BOLFOND,VOLDATAG,5a099c206be3647bbe18b381
10,TRVGRP-ECH-1a3fc42d5a,BOLLOREMEDIADIGITAL,VOLDATAG,5a099c206be3647bbe18b384
11,TRVGRP-ECH-1a3fc42d5a,BOLLOREMEDIAREGIE,VOLDATAG,5a099c206be3647bbe18b387
12,TRVGRP-ECH-1a3fc42d5a,CAPA_USERS,VOLDATAG,5a099c206be3647bbe18b38a
13,TRVGRP-ECH-1a3fc42d5a,CGES,VOLDATAG,5a099c206be3647bbe18b38d
14,TRVGRP-ECH-1a3fc42d5a,CONSO_USER,VOLDATAG,5a099c206be3647bbe18b390
15,TRVGRP-ECH-1a3fc42d5a,s_cdm,VOLDATAG,5a099c206be3647bbe18b393
16,TRVGRP-ECH-1a3fc42d5a,CLUB,VOLDATAG,5a099c206be3647bbe18b396
17,TRVGRP-ECH-1a3fc42d5a,COMM_BT,VOLDATAG,5a099c206be3647bbe18b399
18,TRVGRP-ECH-1a3fc42d5a,COMPTA_USERS,VOLDATAG,5a099c206be3647bbe18b39c
19,TRVGRP-ECH-1a3fc42d5a,COMPTA_USERS_ADMIN,VOLDATAG,5a099c206be3647bbe18b39f
20,TRVGRP-ECH-1a3fc42d5a,CONSO,VOLDATAG,5a099c206be3647bbe18b3a2
21,TRVGRP-ECH-1a3fc42d5a,DIRECTMATIN,VOLDATAG,5a099c206be3647bbe18b3a9
22,TRVGRP-ECH-1a3fc42d5a,DirectMalin,VOLDATAG,5a099c206be3647bbe18b3ac
23,TRVGRP-ECH-1a3fc42d5a,DIRGENE_USERS,VOLDATAG,5a099c206be3647bbe18b3af
24,TRVGRP-ECH-1a3fc42d5a,DISTRIB-PRESSE,VOLDATAG,5a099c206be3647bbe18b3b2
25,TRVGRP-ECH-1a3fc42d5a,DISTRIB-PRESS-USERS,VOLDATAG,5a099c206be3647bbe18b3b5
26,TRVGRP-ECH-1a3fc42d5a,DRH_HOLDING,VOLDATAG,5a099c206be3647bbe18b3b8
27,TRVGRP-ECH-1a3fc42d5a,DSI,VOLDATAG,5a099c206be3647bbe18b3bb
28,TRVGRP-ECH-1a3fc42d5a,FORMATIONS,VOLDATAG,5a099c206be3647bbe18b3be
29,TRVGRP-ECH-1a3fc42d5a,FOUCART,VOLDATAG,5a099c206be3647bbe18b3c1
30,TRVGRP-ECH-1a3fc42d5a,IADBT,VOLDATAG,5a099c206be3647bbe18b3c4
31,TRVGRP-ECH-1a3fc42d5a,IMMOBILIER,VOLDATAG,5a099c206be3647bbe18b3c7
32,TRVGRP-ECH-1a3fc42d5a,INTERNET,VOLDATAG,5a099c206be3647bbe18b3ca
33,TRVGRP-ECH-1a3fc42d5a,JUR_FIS_IND,VOLDATAG,5a099c206be3647bbe18b3cd
34,TRVGRP-ECH-1a3fc42d5a,MAC_MAHON_USERS,VOLDATAG,5a099c206be3647bbe18b3d0
35,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_MAC MAHON,VOLDATAG,5a099c206be3647bbe18b3d3
36,TRVGRP-ECH-1a3fc42d5a,NETTING,VOLDATAG,5a099c206be3647bbe18b3d6
37,TRVGRP-ECH-1a3fc42d5a,PARTICIPATION,VOLDATAG,5a099c206be3647bbe18b3d9
38,TRVGRP-ECH-1a3fc42d5a,REUTER_USERS,VOLDATAG,5a099c206be3647bbe18b3dc
39,TRVGRP-ECH-1a3fc42d5a,SANTE,VOLDATAG,5a099c206be3647bbe18b3df
40,TRVGRP-ECH-1a3fc42d5a,SDV-ACHATS,VOLDATAG,5a099c206be3647bbe18b3e2
41,TRVGRP-ECH-1a3fc42d5a,TestSMB,VOLDATAG,5a099c206be3647bbe18b3e5
42,TRVGRP-ECH-1a3fc42d5a,TITRES_USERS,VOLDATAG,5a099c206be3647bbe18b3e8
43,TRVGRP-ECH-1a3fc42d5a,TRESORERIE,VOLDATAG,5a099c206be3647bbe18b3eb
44,TRVGRP-ECH-1a3fc42d5a,UNICAF,VOLDATAG,5a099c206be3647bbe18b3ee
45,TRVGRP-ECH-1a3fc42d5a,DIR_PART_ADSG,VOLDATAG,5a099c206be3647bbe18b3f1
46,TRVGRP-ECH-1a3fc42d5a,EARTHTALENT,VOLDATAG,5a099c206be3647bbe18b3f4
47,TRVGRP-ECH-1a3fc42d5a,IPO,VOLDATAG,5a099c206be3647bbe18b3f7
48,TRVGRP-ECH-1a3fc42d5a,FMS,VOLDATAG,5a099c206be3647bbe18b3fa
49,TRVGRP-ECH-1a3fc42d5a,Films,VOLDATAG,5a099c206be3647bbe18b3fd
50,TRVGRP-ECH-1a3fc42d5a,DIRGENE1_USERS,VOLDATAG,5a099c206be3647bbe18b400
51,TRVGRP-ECH-1a3fc42d5a,VE,VOLDATAG,5a099c206be3647bbe18b403
52,TRVGRP-ECH-1a3fc42d5a,RESERVATION_4EME,VOLDATAG,5a099c206be3647bbe18b406
53,TRVGRP-ECH-1a3fc42d5a,BERNIER,VOLDATAG,5a099c206be3647bbe18b409
54,TRVGRP-ECH-1a3fc42d5a,SECGENERAL,VOLDATAG,5a099c206be3647bbe18b40c
55,TRVGRP-ECH-1a3fc42d5a,GALX,VOLDATAG,5a099c206be3647bbe18b40f
56,TRVGRP-ECH-1a3fc42d5a,ICUN,VOLDATAG,5a099c206be3647bbe18b412
57,TRVGRP-ECH-1a3fc42d5a,ELITES,VOLDATAG,5a099c206be3647bbe18b415
58,TRVGRP-ECH-1a3fc42d5a,IRIS,VOLDATAG,5a099c206be3647bbe18b418
59,TRVGRP-ECH-1a3fc42d5a,IRIS_ADM_ALL,VOLDATAG,5a099c206be3647bbe18b41b
60,TRVGRP-ECH-1a3fc42d5a,DEMENAGEMENT,VOLDATAG,5a099c206be3647bbe18b41e
61,TRVGRP-ECH-1a3fc42d5a,RelationsInvestisseurs,VOLDATAG,5a099c206be3647bbe18b421
62,TRVGRP-ECH-1a3fc42d5a,DirectionFinanciere,VOLDATAG,5a099c206be3647bbe18b424
63,TRVGRP-ECH-1a3fc42d5a,TARIFSMATERIEL,VOLDATAG,5a099c206be3647bbe18b427
64,TRVGRP-ECH-1a3fc42d5a,TARIFSMATERIELALL,VOLDATAG,5a099c206be3647bbe18b42a
65,TRVGRP-ECH-1a3fc42d5a,BLUE-SOLUTION-DAF,VOLDATAG,5a099c206be3647bbe18b42f
66,TRVGRP-ECH-1a3fc42d5a,FBTU,VOLDATAG,5a099c206be3647bbe18b432
67,TRVGRP-ECH-1a3fc42d5a,GAND,VOLDATAG,5a099c206be3647bbe18b435
68,TRVGRP-ECH-1a3fc42d5a,FHLE,VOLDATAG,5a099c206be3647bbe18b438
69,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_BluesolutionDaf,VOLDATAG,5a099c206be3647bbe18b43b
70,TRVGRP-ECH-1a3fc42d5a,MIDDLE_OFFICE_INDUSTRY,VOLDATAG,5a099c206be3647bbe18b43e
71,TRVGRP-ECH-1a3fc42d5a,SERVEUR_AEG_DELOITTE_CONSO,VOLDATAG,5a099c206be3647bbe18b441
72,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_IFRS15,VOLDATAG,5a099c206be3647bbe18b444
73,TRVGRP-ECH-1a3fc42d5a,L_BOL_PTX_FILR_Collectes IFC et NRE,VOLDATAG,5a099c206be3647bbe18b447
74,TRVGRP-ECH-1a3fc42d5a,G_Echange_Communication Groupe,VOLDATAG,5a099c206be3647bbe18b44a
75,TRVGRP-ECH-1a3fc42d5a,G_UPSLIDE,VOLDATAG,5a099c206be3647bbe18b451
76,TRVGRP-ECH-1a3fc42d5a,G_ZCM_NOTES ANALYSTES,VOLDATAG,5a099c206be3647bbe18b454
77,TRVGRP-ECHBOL-8536cd033b,LLIE,VOLDATAG,5a099c206be3647bbe18b45b
78,TRVGRP-ECHBOL-e855b53158,1-BM-COMMUNICATION,VOLDATAG,5a099c206be3647bbe18b45e
79,TRVGRP-ECHBOL-e855b53158,1-BM-DRH,VOLDATAG,5a099c206be3647bbe18b461
80,TRVGRP-ECHBOL-e855b53158,1-BM-DSI,VOLDATAG,5a099c206be3647bbe18b464
81,TRVGRP-ECHBOL-e855b53158,1-BM-CANAL-PLUS,VOLDATAG,5a099c206be3647bbe18b467
82,TRVGRP-ECHBOL-e855b53158,1-BM-DIRECTION,VOLDATAG,5a099c206be3647bbe18b46a
83,TRVGRP-ECHBOL-8536cd033b,BI-PLANNINGPRESSEREGIEPUB,VOLDATAG,5a099c206be3647bbe18b46d
84,TRVGRP-ECHBOL-8536cd033b,BI-PLANNINGPRESSE,VOLDATAG,5a099c206be3647bbe18b470
85,TRVGRP-ECHBOL-8536cd033b,BMR-MARKETUDES,VOLDATAG,5a099c206be3647bbe18b473
86,TRVGRP-ECHBOL-8536cd033b,BMR-MARKETUDESLECT,VOLDATAG,5a099c206be3647bbe18b476
87,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA_USERS,VOLDATAG,5a099c206be3647bbe18b47b
88,TRVGRP-ECHCOM-3bb2c1dc6a,CRISTAL_PROJET_COMPTABLE,VOLDATAG,5a099c206be3647bbe18b47e
89,TRVGRP-ECHDIS-96f97504cb,DP-MEDIAPILOT,VOLDATAG,5a099c206be3647bbe18b485
90,TRVGRP-ECHDRH-c69fcf1690,DRHGRPADMIN,VOLDATAG,5a099c206be3647bbe18b489
91,TRVGRP-ECHDRH-c69fcf1690,CKAL,VOLDATAG,5a099c206be3647bbe18b48c
92,TRVGRP-ECHDRH-c69fcf1690,CBCI,VOLDATAG,5a099c206be3647bbe18b48f
93,TRVGRP-ECHDRH-c69fcf1690,PYBD,VOLDATAG,5a099c206be3647bbe18b494
94,TRVGRP-ECHDRHSer01_-7b5eb63b93,DRHGRP-EPARGNESALA,VOLDATAG,5a099c206be3647bbe18b498
95,TRVGRP-ECHDRHSer01_-7b5eb63b93,DRHGRP-PROCEDURE,VOLDATAG,5a099c216be3647bbe18b49b
96,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-PRTECTSOC,VOLDATAG,5a099c216be3647bbe18b49e
97,TRVGRP-ECHDRHSer01_-7b5eb63b93,DRHGRP-REPORTSOCIAL,VOLDATAG,5a099c216be3647bbe18b4a1
98,TRVGRP-ECHDRHSer01_-7b5eb63b93,DRHGRP-ASSUAXASFDM,VOLDATAG,5a099c216be3647bbe18b4a4
99,TRVGRP-ECHDRHSer01_-7b5eb63b93,DRHGRP-REMUNERATIONS,VOLDATAG,5a099c216be3647bbe18b4a7
100,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-SECRETCK,VOLDATAG,5a099c216be3647bbe18b4aa
101,TRVGRP-ECHDRHSer-ee20ec1e33,DRHGRP-SIRH,VOLDATAG,5a099c216be3647bbe18b4ad
102,TRVGRP-ECHDRHSer03_-3c7291fee2,SIRHGroupe,VOLDATAG,5a099c216be3647bbe18b4b4
103,TRVGRP-ECHDRHSer03_-3c7291fee2,DRHGRP-SIRH-HRASUITE7,VOLDATAG,5a099c216be3647bbe18b4b7
104,TRVGRP-ECHDRHSer-985d7e9997,DRHGRP-SECRETDRHGRP,VOLDATAG,5a099c216be3647bbe18b4bb
105,TRVGRP-ECHDRHSer-985d7e9997,DRHGRP-SECRETPYB,VOLDATAG,5a099c216be3647bbe18b4be
106,TRVGRP-ECHDSI-3bc46574ae,ATOS,VOLDATAG,5a099c216be3647bbe18b4c2
107,TRVGRP-ECHDSI-3bc46574ae,INFOGERANT,VOLDATAG,5a099c216be3647bbe18b4cf
108,TRVGRP-ECHDSI-3bc46574ae,ATOS_DROIT_SUP,VOLDATAG,5a099c216be3647bbe18b4d4
109,TRVGRP-ECHDSIApp-4f3974a390,DSI-ENABLONDD,VOLDATAG,5a099c216be3647bbe18b4dc
110,TRVGRP-ECHDSIApp-4f3974a390,ZSTA,VOLDATAG,5a099c216be3647bbe18b4df
111,TRVGRP-ECHDSIGESdoc-9848356a3d,RKNY,VOLDATAG,5a099c216be3647bbe18b4e3
112,TRVGRP-ECHDSIPRO-9f6de63474,COVOITURAGE,VOLDATAG,5a099c216be3647bbe18b4e6
113,TRVGRP-ECHDSIPRO-9f6de63474,CMBL,VOLDATAG,5a099c216be3647bbe18b4e9
114,TRVGRP-ECHDSIPRO-9f6de63474,JMCR,VOLDATAG,5a099c216be3647bbe18b4ec
115,TRVGRP-ECHDSIPRO-9f6de63474,STDIRGE2,VOLDATAG,5a099c216be3647bbe18b4ef
116,TRVGRP-ECHDSIPRO-9f6de63474,LCTY,VOLDATAG,5a099c216be3647bbe18b4f2
117,TRVGRP-ECHDSIPRO-9f6de63474,CLCD,VOLDATAG,5a099c216be3647bbe18b4f5
118,TRVGRP-ECHDSIPRO-9f6de63474,LLBU,VOLDATAG,5a099c216be3647bbe18b4f8
119,TRVGRP-ECHDSIPRO-9f6de63474,DSI-IMMO,VOLDATAG,5a099c216be3647bbe18b4fb
120,TRVGRP-ECHDSIPRO-9f6de63474,DSI-MEDICAL,VOLDATAG,5a099c216be3647bbe18b4fe
121,TRVGRP-ECHDSIPRO-9f6de63474,FBDI,VOLDATAG,5a099c216be3647bbe18b501
122,TRVGRP-ECHDSIPRO-9f6de63474,EQUITRAC-MFP-RICOH,VOLDATAG,5a099c216be3647bbe18b506
123,TRVGRP-ECHDSIPRO-9f6de63474,BM-PROJETS-MEDIAS,VOLDATAG,5a099c216be3647bbe18b509
124,TRVGRP-ECHDSIPRO-9f6de63474,MPTR,VOLDATAG,5a099c216be3647bbe18b50c
125,TRVGRP-ECHDSIPRO-9f6de63474,GALT,VOLDATAG,5a099c216be3647bbe18b50f
126,TRVGRP-ECHDSIPRO-9f6de63474,GVCT,VOLDATAG,5a099c216be3647bbe18b512
127,TRVGRP-ECHDSIPRO-9f6de63474,OPTIM'IS DATAFINANCE,VOLDATAG,5a099c216be3647bbe18b515
128,TRVGRP-ECHJUR-5cadf3508f,JUR_FIS_IND-BIBLIO,VOLDATAG,5a099c216be3647bbe18b51d
129,TRVGRP-ECHJUR-5cadf3508f,JUR_FIS_IND-CAI,VOLDATAG,5a099c216be3647bbe18b520
130,TRVGRP-ECHJUR-5cadf3508f,JURI01,VOLDATAG,5a099c216be3647bbe18b523
131,TRVGRP-ECHJUR-5cadf3508f,FISCAL,VOLDATAG,5a099c216be3647bbe18b526
132,TRVGRP-ECHJUR-5cadf3508f,JUR_FIS_IND-JLECOCQ,VOLDATAG,5a099c216be3647bbe18b529
