#	This file was generated on 2016-11-04 at 16:11:26
#	by Softerra LDAP Browser 4.5 [ http://www.ldapadministrator.com ]
DN,sAMAccountName
"CN=Opérateurs de configuration réseau,CN=Builtin,DC=acy,DC=lan","Opérateurs de configuration réseau"
"CN=Générateurs d'approbations de forêt entrante,CN=Builtin,DC=acy,DC=lan","Générateurs d'approbations de forêt entrante"
"CN=Utilisateurs de l'Analyseur de performances,CN=Builtin,DC=acy,DC=lan","Utilisateurs de l'Analyseur de performances"
"CN=Serveurs de licences des services Terminal Server,CN=Builtin,DC=acy,DC=lan","Serveurs de licences des services Terminal Server"
"CN=Utilisateurs du modèle COM distribué,CN=Builtin,DC=acy,DC=lan","Utilisateurs du modèle COM distribué"
"CN=Ordinateurs du domaine,OU=Users Groups,DC=acy,DC=lan","Ordinateurs du domaine"
"CN=Opérateurs de chiffrement,CN=Builtin,DC=acy,DC=lan","Opérateurs de chiffrement"
"CN=Groupe de réplication dont le mot de passe RODC est autorisé,CN=Users,DC=acy,DC=lan","Groupe de réplication dont le mot de passe RODC est autorisé"
"CN=Lecteurs des journaux d’événements,CN=Builtin,DC=acy,DC=lan","Lecteurs des journaux d’événements"
"CN=Utilisateurs du journal de performances,CN=Builtin,DC=acy,DC=lan","Utilisateurs du journal de performances"
"CN=Contrôleurs de domaine d’entreprise en lecture seule,CN=Users,DC=acy,DC=lan","Contrôleurs de domaine d’entreprise en lecture seule"
"CN=Opérateurs de compte,CN=Builtin,DC=acy,DC=lan","Opérateurs de compte"
"CN=Duplicateurs,CN=Builtin,DC=acy,DC=lan","Duplicateurs"
"CN=Opérateurs d'impression,CN=Builtin,DC=acy,DC=lan","Opérateurs d'impression"
"CN=Contrôleurs de domaine en lecture seule,CN=Users,DC=acy,DC=lan","Contrôleurs de domaine en lecture seule"
"CN=Contrôleurs de domaine,OU=Users Groups,DC=acy,DC=lan","Contrôleurs de domaine"
"CN=IIS_IUSRS,CN=Builtin,DC=acy,DC=lan","IIS_IUSRS"
"CN=Invités du domaine,OU=Users Groups,DC=acy,DC=lan","Invités du domaine"
"CN=Utilisa. du domaine,OU=Users Groups,DC=acy,DC=lan","Utilisa. du domaine"
"CN=Invités,CN=Builtin,DC=acy,DC=lan","Invités"
"CN=Utilisateurs du Bureau à distance,CN=Builtin,DC=acy,DC=lan","Utilisateurs du Bureau à distance"
"CN=Groupe de réplication dont le mot de passe RODC est refusé,CN=Users,DC=acy,DC=lan","Groupe de réplication dont le mot de passe RODC est refusé"
"CN=Accès compatible pré-Windows 2000,CN=Builtin,DC=acy,DC=lan","Accès compatible pré-Windows 2000"
"CN=Administrateurs,CN=Builtin,DC=acy,DC=lan","Administrateurs"
"CN=Utilisateurs,CN=Builtin,DC=acy,DC=lan","Utilisateurs"
"CN=Opérateurs de sauvegarde,CN=Builtin,DC=acy,DC=lan","Opérateurs de sauvegarde"
"CN=Opérateurs de serveur,CN=Builtin,DC=acy,DC=lan","Opérateurs de serveur"
"CN=Groupe d'accès d'autorisation Windows,CN=Builtin,DC=acy,DC=lan","Groupe d'accès d'autorisation Windows"
"CN=Propriétaires créateurs de la stratégie de groupe,OU=Users Groups,DC=acy,DC=lan","Propriétaires créateurs de la stratégie de groupe"
"CN=Administrateurs de l'entreprise,OU=Users Groups,DC=acy,DC=lan","Administrateurs de l'entreprise"
"CN=Administrateurs du schéma,OU=Users Groups,DC=acy,DC=lan","Administrateurs du schéma"
