chemin,ayant-droits,droits
/,['Info'],rwcefm
/Agenda 21,['Agenda-21'],rwcefm
/Arcadium,['Arcadium'],rwcefm
/Arcadium,['1-Arcadiumgestion'],rwcefm
/Cadre de Vie,['Cadre-Vie'],rf
/ECHANGES,['Everybody'],rwcfm
/EPI,['1-EPI'],rwcefm
/INFO,['Info'],rwcefm
/Liste Syndics Vieille Ville Autorisations de Travaux,['1-Syndic'],rwcefm
/Logistique_événements,['1-Logistique'],rf
/Propreté Urbaine,['PropreteUrbaine'],rwcefm
/Sapa,['PellicierC'],rwcefm
/Prévention Tranquillité,['PreventionTranquillite'],rwcefm
/batiment,['Manufacture'],
/cabinet,['Cabinet'],rf
/comerart,['1-DirCommerce'],rwcefm
/culturel,['Creche_HDV'],
/culturel,['Culturel'],rf
/dgre,['Dgre'],rwcefm
/drh,['Drh'],rf
/finances,['ControleGestion'],rwcefm
/parcst,['FeteduLac'],
/secregal,['Secregal'],rwcefm
/social,['NivetM'],rwcefm
/sports,['Sports'],rwcefm
/voirie,['Voirie'],rf
/voirie,['1-voiriexclu'],
/Agenda 21/Plan Climat,['LethiaisJ'],rwcefm
/Arcadium/COMMUN/GESTION,['ControleGestion'],rwcefm
/Arcadium/COMMUN/GESTION,['MaitriasE'],rwcefm
/Cadre de Vie/Bezzi,['BezziS'],rwcefm
/Cadre de Vie/Bel,['BelS'],rwcefm
/Cadre de Vie/COMMUN,['Cadre-Vie'],rwcefm
/Cadre de Vie/Congés,['GroupeSalubrite'],rwcefm
/DVQSP/Lathoud,['DVQSP'],
/INFO/COMMUN,['MussonP'],rwcefm
/INFO/COMMUN,['Reprographie'],rwcefm
/INFO/Documentation_Support,['Reprographie'],rwcefm
/INFO/ISABELLE,['Everybody'],
/INFO/Repro,['MondiniC'],rwcefm
/INFO/Imprimerie,['Reprographie'],rwcefm
/INFO/Fabrice/Perso,['WinieskiF'],rwcefm
/INFO/Fabrice/Perso,['Everybody'],
/INFO/Fabrice/Perso,['Info'],
/INFO/ISABELLE/Perso,['Info'],
/INFO/ISABELLE/Perso,['LepetitI'],rwcefm
/INFO/ISABELLE/Perso,['Everybody'],
/INFO/Repro/Cadoux,['CadouxL'],rwcefm
/Logistique_événements/Ateliers_Electricité_Fetes,['DirectionFetes'],rwcefm
/Logistique_événements/Berthet,['Fetes'],
/Logistique_événements/Berthet,['1-LogistiqueDir'],rwcefm
/Logistique_événements/Fontaine/Fontaine,['Fetes'],rwceafm
/Logistique_événements/Fontaine,['Fetes'],rwcefm
/Logistique_événements/Guizzon,['DirectionFetes'],rwcefm
/Logistique_événements/Atelier_Logev,['Atelier_Sle'],rwcefm
/Logistique_événements/Depres,['DepresV'],rwcefm
/Logistique_événements/Duverney,['DuverneyA'],rwcefm
/Logistique_événements/Commun,['Fetes'],rwcefm
/MEDECINE/Pithois,['PithoisK'],rwcefm
/MEDECINE/Spirowin,['Medecine'],rwcefm
/OpenOffice/Galerie,['Everybody'],rf
/OpenOffice/Modeles,['Everybody'],rf
/Propreté Urbaine/NETTOIEMENT,['FischbachG'],rwcefm
/Propreté Urbaine/Commun,['PropreteUrbaine'],rwcefm
/Propreté Urbaine/Vittoz,['VittozM'],rwcefm
/Propreté Urbaine/TELLIER,['TellierM'],rwcefm
/Propreté Urbaine/Françon,['FranconC'],rwcefm
/Propreté Urbaine/Achouri,['AchouriN'],rwcefm
/STATIO/BALDACCHINO,['Stationnement'],
/STATIO/BARRIQUAND,['BarriquandH'],rwcefm
/STATIO/COMMUN,['1-Statio-Commun'],rwcefm
/STATIO/COMMUN,['Stationnement'],
/STATIO/Dupont,['DupontM'],rwcefm
/STATIO/Fol,['FolJF'],rwcefm
/STATIO/Régies,['1-ParkingRegie'],rwcefm
/STATIO/Levant,['LevantJ'],rwcefm
/STATIO/Pc_Parking,['pc_parkings'],rwcefm
/STATIO/Pc_Parking,['Stationnement'],
/STATIO/Pc_Parking,['1-Statio-Commun'],rwcefm
/STATIO/Rota,['RotaX'],rwcefm
/STATIO/Tech_partage,['1-ParkingTech'],rwcefm
/STATIO/Scaramucci,['ScaramucciP'],rwcefm
/STATIO/Gandon,['GandonE'],rwcefm
/STATIO/COMMUN/Secretariat,['1-Statio-secretariat'],rwcefm
/STATIO/Exploitation,['1-Statio-exploitation'],rwcefm
/STATIO/BARRIQUAND/Dossiers parkings,['Stationnement'],
/Prévention Tranquillité/Commun,['1-PrevTranq'],rwcefm
/Prévention Tranquillité/Gac,['GacC'],rwcefm
/Prévention Tranquillité/Gac,['PreventionTranquillite'],
/Prévention Tranquillité/Marco,['1-PrevTranq2'],rwcefm
/Prévention Tranquillité/Brigade Environnement,['Brigade_environnement'],rwcefm
/Prévention Tranquillité/Janssens,['JanssensD'],rwcefm
/Prévention Tranquillité/Marco/à supprimer/SECURITE PREVENTION ROUTIERE,['DonzierH'],rwcefm
/batiment/Diagnostics,['1-BatDiagn'],rwcefm
/batiment/Manufacture,['Manufacture'],rwcefm
/batiment/Ménage,['1-BatMenage'],rwcefm
/batiment/Daudin,['DaudinC'],rwcefm
/batiment/Revil,['RevilL'],rwcefm
/batiment/Pôle Comptabilité,['1-BatCompt'],rwcefm
/batiment/Pôle énergie,['PoleEnergie'],rwcefm
/batiment/Cousin,['CousinS'],rwcefm
/batiment/Senet,['SenetY'],rwcefm
/batiment/Fatmi,['FatmiT'],rwcefm
/batiment/Energie_Plomberie,['1-EnergiePlom'],rwcefm
/batiment/Energie_Elec,['1-Energieelec'],rwcefm
/batiment/Energie_Chauffage,['1-EnergieChauff'],rwcefm
/batiment/Clés,['1-BatClefs'],rwcefm
/batiment/Belhadj,['BelhadjA'],rwcefm
/batiment/Caunday,['CaundayS'],rwcefm
/batiment/Briffod,['BriffodN'],rwcefm
/batiment/Sironi,['SironiD'],rwcefm
/batiment/Nouvelle CC,['1-BatCC'],rwcefm
/batiment/Millet,['MilletN'],rwcefm
/batiment/Revil/A secure,['Batiment'],
/batiment/Revil/A secure,['RevilL'],rwcefm
/batiment/Pôle Comptabilité/FONCTIONNEMENT/REMBOURSEMENT PAR -  TITRES RECETTE - frais PAR d'autres redevables - 70878 - 70876,['BuzioF'],rwcefm
/batiment/Pôle Comptabilité/FONCTIONNEMENT/REMBOURSEMENT PAR -  TITRES RECETTE - frais PAR d'autres redevables - 70878 - 70876,['PetrierJ'],rwcefm
/batiment/Pôle Comptabilité/FONCTIONNEMENT/REMBOURSEMENT PAR -  TITRES RECETTE - frais PAR d'autres redevables - 70878 - 70876,['1-Bat'],rwcefm
/batiment/Pôle Comptabilité/FONCTIONNEMENT/REMBOURSEMENT A - FACTURES - frais  A d'autres organismes -  62878 - 62876,['1-Bat'],rwcefm
/batiment/Senet/A Secure,['Batiment'],
/batiment/Senet/A Secure,['SenetY'],rwcefm
/bonlieu/Colletti,['CollettiF'],rwcefm
/bonlieu/Colletti/Dufour,['CollettiF'],rwcefm
/bonlieu/Frid,['FridA'],rwcefm
/bonlieu/Frid,['BouissonnieJ'],rf
/bonlieu/Lamerac,['LameracV'],rwcefm
/bonlieu/Secretariat,['Chavasse-fretazK'],rwcefm
/bonlieu/Secretariat,['1-BonlieuSec'],rf
/bonlieu/Fete du lac,['1-FDL'],rwcefm
/bonlieu/Stagiaire,['Bonlieu_stagiaire'],rwcefm
/bonlieu/Administration,['Bonlieu'],
/bonlieu/Administration,['1-BonlieuAdmin'],rwcefm
/Direction Bonlieu,['1-BonlieuRestrein'],rwcefm
/bonlieu/Favre-Bonvin,['Favre-bonvinS'],rwcefm
/bonlieu/Saulnier,['SaulnierC'],rwcefm
/cabinet/Cheffi,['CheffiE'],rwcefm
/cabinet/LEBEAU,['LebeauJ'],rwcefm
/cabinet/Jarnier,['LebeauJ'],rwcefm
/cabinet/Répertoire,['Cabinet-Repertoire'],rwcefm
/cabinet/Yamani,['YamaniA'],rwcefm
/cabinet/Fournier,['FournierM'],rwcefm
/cabinet/Arnoux-Herlemont,['HerlemontS'],rwcefm
/cabinet/COMMUN/Salles,['Cabinet'],rf
/cabinet/COMMUN/Salles,['1-CabinetSalles'],rwcefm
/comerart/ACARE,['Comerart'],rwcefm
/comerart/Alili,['AliliW'],rwcefm
/comerart/Bouissonnie,['BouissonnieJ'],rwcefm
/comerart/ACARE/CAMPING/Camping,['AuclairS'],rwcefm
/comerart/Donzier,['DonzierH'],rwcefm
/comerart/Grimaud,['AliliW'],rwcefm
/comerart/Guilarmois,['AliliW'],rwcefm
/comerart/PSIMARK2,['1-Placiers'],rwcefm
/comerart/ACARE/VIE ECONOMIQUE/Etienne,['EtienneA'],rwcefm
/comerart/COMMUN/DroitsVoirie,['1-Droitvoirie'],rwcefm
/culturel/Delande,['DelandeA'],rwcefm
/culturel/Denhez,['DenhezA1'],rwcefm
/culturel/Chenu,['ChenuB'],rwcefm
/culturel/Creche_HDV,['Culturel'],
/culturel/Creche_HDV,['1-CrecheHDV'],rwcefm
/culturel/Etudiant,['1-Bij'],rwcefm
/culturel/Martins,['Martins_da_cunhaA'],rwcefm
/culturel/CRECHE FA,['1-Creche'],rwcefm
/culturel/Mangione,['MangioneS'],rwcefm
/culturel/Onde-Manel,['Culturel'],
/culturel/Vernet,['VernetS'],rwcefm
/culturel/Caullireau,['CaullireauC'],rwcefm
/culturel/Ameline,['LimassetC'],rwcefm
/culturel/Meo,['MeoM'],rwcefm
/culturel/Contat,['ContatS'],rwcefm
/culturel/Lefebvre-PAPE-RAM,['1-Ram'],rwcefm
/culturel/Blampey,['BlampeyC'],rwcefm
/culturel/Fournil,['FournilD'],rwcefm
/culturel/Blairvacq,['BlairvacqM'],rwcefm
/culturel/Delaye,['DelayeR'],rwcefm
/culturel/Maquenhen,['MaquenhenJ'],rwcefm
/culturel/Creche_HDV/Educatrices,['Creche_HDV'],rwcefm
/culturel/Creche_HDV/Educatrices,['LecomteS'],rwcefm
/culturel/Creche_HDV/Educatrices,['Onde-ManelD'],rwcefm
/dgre/COMMUN,['Dgre'],rwcefm
/dgre/FeteDucLac,['1-Dgre-FDL'],rwcefm
/dgre/COMMUN/Terrier,['TerrierL'],rwcefm
/dgre/COMMUN/Terrier,['KillD'],rwcefm
/dgre/Terrier,['TerrierL'],rwcefm
/dgre/Terrier,['1-DGRE-HDV'],rwcefm
