,_id,dn,groupid,member,uid
0,5a58d8298a714b91a7711dec,"cn=L_BOL_PTX_FILR_FISCAL,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",L_BOL_PTX_FILR_FISCAL,"cn=LTTX,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1",LTTX
1,5a58d8298a714b91a7711def,"cn=IMP-CHAUFFEUR-DIRECTION-01,ou=IPRINTERS,ou=PTX,o=GB1",IMP-CHAUFFEUR-DIRECTION-01,"cn=CHAUDIR2,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1",CHAUDIR2
2,5a58d8298a714b91a7711df2,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=CDAS,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1",CDAS
3,5a58d8298a714b91a7711df5,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=ADVS,ou=CONTROLE-GEST,ou=BOLLORE,ou=PTX,o=GB1",ADVS
4,5a58d8298a714b91a7711df8,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=AMLI,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1",AMLI
5,5a58d8298a714b91a7711dfb,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=ASII,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1",ASII
6,5a58d8298a714b91a7711dfe,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=FLRE,ou=DIR-FINANCIERE,ou=BOLLORE,ou=PTX,o=GB1",FLRE
7,5a58d8298a714b91a7711e01,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=CDBT,ou=DIR-PARTICIPATIONS,ou=BOLLORE,ou=PTX,o=GB1",CDBT
8,5a58d8298a714b91a7711e04,"cn=G_ZCM_NOTES ANALYSTES,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_NOTES ANALYSTES,"cn=XLRY,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1",XLRY
9,5a58d8298a714b91a7711e07,"cn=IMP-PROPINDUSTRIELLE-04-Backup,ou=IPRINTERS,ou=PTX,o=GB1",IMP-PROPINDUSTRIELLE-04-Backup,"cn=JFRU,ou=PROP-INDUSTRIELLE,ou=BOLLORE,ou=PTX,o=GB1",JFRU
