,Path,Rights,SAMAccountName,Scope,Type,Volume,_id
0,/,"Read,ReadAndExecute,Synchronize,ListDirectory,ReadPermissions,ChangePermissions",cheops,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21b6
1,/DESKTOP.AFP,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory,ReadPermissions,ChangePermissions,FullAccess",Unknown,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21b8
2,/Icon,"Read,ReadAndExecute,Synchronize,ListDirectory",FNMF,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21ba
3,/Network Trash Folder,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory,FullAccess",FNMF,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21bc
4,/Network Trash Folder,"Read,ReadAndExecute,Synchronize,ListDirectory",FNMF,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21be
5,/REPPART/Accueil_Suivi_Collaborateur,"Read,ReadAndExecute,Synchronize,ListDirectory",Accueil_Suivi_Coll_Lec,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21c0
6,/REPPART/Accueil_Suivi_Collaborateur,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",Accueil_Suivi_Coll_Ecr,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21c2
7,/REPPART/Apmf,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",Apmf,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21c4
8,/REPPART/Archfee,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",Archfee,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21c6
9,/REPPART/ASDRH,"Read,ReadAndExecute,Synchronize,Write,Delete,CreateFiles,CreateDirectories,Modify,ListDirectory",ASDRH,ThisFolderSubFoldersAndFiles,ConvertedRight,REPPART,5a0cadf66be3647bbe1a21c8
