,Filter,Path,Version,Volume,_id
0,,/,2,VOLDATAG,5a67c1b62525b99975918ba1
1,s,/~DFSINFO.8-P,2,VOLDATAG,5a67c1b62525b99975918ba3
2,s,/._NETWARE,2,VOLDATAG,5a67c1b62525b99975918ba5
3,s,/ECHANGES,2,VOLDATAG,5a67c1b62525b99975918ba7
4,s,/APPLIS/CTRL_FISCAL,2,VOLDATAG,5a67c1b62525b99975918bbd
5,s,/ECHANGES/Achats,2,VOLDATAG,5a67c1b62525b99975918bc9
6,s,/ECHANGES/BOLFOND,2,VOLDATAG,5a67c1b62525b99975918bd7
7,s,/ECHANGES/BOLLOREMEDIA,2,VOLDATAG,5a67c1b62525b99975918bdb
8,s,/ECHANGES/CAPA,2,VOLDATAG,5a67c1b62525b99975918be3
9,s,/ECHANGES/CGES,2,VOLDATAG,5a67c1b62525b99975918beb
10,s,/ECHANGES/COMMBT,2,VOLDATAG,5a67c1b62525b99975918bf1
11,s,/ECHANGES/COMPTA,2,VOLDATAG,5a67c1b62525b99975918bf7
12,rfs,/ECHANGES/CONSO,2,VOLDATAG,5a67c1b62525b99975918bff
13,s,/ECHANGES/DISTRIB-PRESSE,2,VOLDATAG,5a67c1b62525b99975918c0b
14,s,/ECHANGES/DRH Groupe,2,VOLDATAG,5a67c1b62525b99975918c0d
15,s,/ECHANGES/DRH Holding,2,VOLDATAG,5a67c1b62525b99975918c11
16,s,/ECHANGES/FORMATIO,2,VOLDATAG,5a67c1b62525b99975918c17
17,s,/ECHANGES/JUR_FIS_IND,2,VOLDATAG,5a67c1b62525b99975918c21
18,s,/ECHANGES/MAC MAHON,2,VOLDATAG,5a67c1b62525b99975918c27
19,s,/ECHANGES/SDVACHAT,2,VOLDATAG,5a67c1b62525b99975918c33
20,s,/ECHANGES/Titres,2,VOLDATAG,5a67c1b62525b99975918c37
21,s,/ECHANGES/TRESORERIE,2,VOLDATAG,5a67c1b62525b99975918c3b
22,s,/ECHANGES/UNICAF,2,VOLDATAG,5a67c1b62525b99975918c3f
23,s,/ECHANGES/ADSG,2,VOLDATAG,5a67c1b62525b99975918c43
24,s,/ECHANGES/Déménagements TB été 2015,2,VOLDATAG,5a67c1b62525b99975918c61
25,s,/ECHANGES/BOLFOND/Secretariat,2,VOLDATAG,5a67c1b62525b99975918c99
26,s,/ECHANGES/BOLLOREMEDIAREGIE/LE PRINCE,2,VOLDATAG,5a67c1b62525b99975918c9d
27,s,/ECHANGES/BOLLOREMEDIA/COMMUNICATION-MEDIAS,2,VOLDATAG,5a67c1b62525b99975918ca1
28,s,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS,2,VOLDATAG,5a67c1b62525b99975918ca5
29,s,/ECHANGES/BOLLOREMEDIA/DSI-MEDIAS,2,VOLDATAG,5a67c1b62525b99975918cad
30,s,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS,2,VOLDATAG,5a67c1b62525b99975918cb1
31,s,/ECHANGES/BOLLOREMEDIA/DIRECTION-MEDIAS,2,VOLDATAG,5a67c1b62525b99975918cb5
32,s,/ECHANGES/BOLLOREMEDIAREGIE/PLANNING PRESSE,2,VOLDATAG,5a67c1b62525b99975918cbb
33,s,/ECHANGES/COMPTA/CRISTAL Projet Comptable_OLD/PARAMETRES_IRIS_FINANCE/Paramètres pour administrateurs (dossier sécurisé),2,VOLDATAG,5a67c1b62525b99975918cc7
34,s,/ECHANGES/BOLLOREMEDIA/COMPTABILITE-MEDIAS/ZZZ OLD dossiers save/ZZZ OLD G Compta MEDIA (save 2013-03)/COMPTA,2,VOLDATAG,5a67c1b62525b99975918cc9
35,s,/ECHANGES/DIRECTMATIN/AAACTU_TV_DIRECTSOIR,2,VOLDATAG,5a67c1b62525b99975918ccd
36,s,/ECHANGES/DIRGENE/Filemaker,2,VOLDATAG,5a67c1b62525b99975918cd3
37,s,/ECHANGES/DISTRIB-PRESSE/MEDIAPILOT,2,VOLDATAG,5a67c1b62525b99975918cd7
38,s,/ECHANGES/DISTRIB-PRESSE/Archives jusqu'à 2014/RESEAU-DEPOT,2,VOLDATAG,5a67c1b62525b99975918cdb
39,s,/ECHANGES/DRH Groupe/Administration RH,2,VOLDATAG,5a67c1b62525b99975918cdf
