,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
0,TRVGRP--d41d8cd98f,,,,2,VOLDATAG,5a685c9f2525b999759205dd
1,TRVGRP-ECH-1a3fc42d5a,TRVGRP--d41d8cd98f,,/ECHANGES,2,VOLDATAG,5a685c9f2525b999759205e8
2,TRVGRP-APP-f166b8727b,TRVGRP--d41d8cd98f,,/APPLIS,2,VOLDATAG,5a685c9f2525b999759205f9
3,TRVGRP-APPOLD-80ca880269,TRVGRP-APP-f166b8727b,/APPLIS,/APPLIS/OLD,2,VOLDATAG,5a685c9f2525b99975920602
4,TRVGRP-ECHAch-41f3ae9dab,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/Achats,2,VOLDATAG,5a685c9f2525b99975920758
5,TRVGRP-ECHBOL-a7d58f6f74,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/BOLFOND,2,VOLDATAG,5a685c9f2525b9997592075f
6,TRVGRP-ECHBOL-8536cd033b,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/BOLLOREMEDIAREGIE,2,VOLDATAG,5a685ca02525b99975920772
7,TRVGRP-ECHBOL-e855b53158,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/BOLLOREMEDIA,2,VOLDATAG,5a685ca02525b99975920779
8,TRVGRP-ECHCGE04_042-dca4055618,TRVGRP-ECHCGE04_-d5a979f770,/ECHANGES/CGES/04_Analyses et études diverses,/ECHANGES/CGES/04_Analyses et études diverses/042_Analyses par Divisions & entités,2,VOLDATAG,5a685ca02525b999759207b0
9,TRVGRP-ECHCGE04_-d5a979f770,TRVGRP-ECHCGE-b13a3ae083,/ECHANGES/CGES,/ECHANGES/CGES/04_Analyses et études diverses,2,VOLDATAG,5a685ca02525b999759207b3
10,TRVGRP-ECHCGE-b13a3ae083,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/CGES,2,VOLDATAG,5a685ca02525b999759207b6
11,TRVGRP-ECHCOM-3bb2c1dc6a,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/COMPTA,2,VOLDATAG,5a685ca02525b999759207c7
12,TRVGRP-ECHCOMCRIPAR-906634ac23,TRVGRP-ECHCOMCRI-0f67bbed22,/ECHANGES/COMPTA/CRISTAL Projet Comptable_OLD,/ECHANGES/COMPTA/CRISTAL Projet Comptable_OLD/PARAMETRES_IRIS_FINANCE,2,VOLDATAG,5a685ca02525b999759207d4
