,MemberOf,SAMAccountName,Version,Volume,_id
0,TRVGRP--d41d8cd98f,LDRU,2,VOLDATAG,5a685ca12525b999759211a7
1,TRVGRP--d41d8cd98f,SDGN,2,VOLDATAG,5a685ca12525b999759211aa
2,TRVGRP--d41d8cd98f,BGDN,2,VOLDATAG,5a685ca12525b999759211ad
3,TRVGRP--d41d8cd98f,JFX667,2,VOLDATAG,5a685ca12525b999759211b0
4,TRVGRP--d41d8cd98f,POB818,2,VOLDATAG,5a685ca12525b999759211b3
5,TRVGRP-ECH-1a3fc42d5a,BBM545,2,VOLDATAG,5a685ca12525b999759211b6
6,TRVGRP-ECH-1a3fc42d5a,EGX104,2,VOLDATAG,5a685ca12525b999759211b9
7,TRVGRP-ECH-1a3fc42d5a,FPB615,2,VOLDATAG,5a685ca12525b999759211bc
8,TRVGRP-ECH-1a3fc42d5a,UHL214,2,VOLDATAG,5a685ca12525b999759211bf
9,TRVGRP-APP-f166b8727b,CTRL_FISCAL,2,VOLDATAG,5a685ca12525b999759211c2
10,TRVGRP-APP-f166b8727b,GRETAR_APP,2,VOLDATAG,5a685ca12525b999759211c5
11,TRVGRP-APPOLD-80ca880269,APPLIS-STUDIO-QUAL,2,VOLDATAG,5a685ca12525b999759211c8
12,TRVGRP-APPOLD-80ca880269,APPLIS-STUDIO,2,VOLDATAG,5a685ca12525b999759211cb
13,TRVGRP-ECH-1a3fc42d5a,ACHATS,2,VOLDATAG,5a685ca12525b999759211ce
14,TRVGRP-ECH-1a3fc42d5a,LXF256,2,VOLDATAG,5a685ca12525b999759211d1
15,TRVGRP-ECH-1a3fc42d5a,ACHATS2,2,VOLDATAG,5a685ca12525b999759211d4
16,TRVGRP-ECH-1a3fc42d5a,ANNUAIRE,2,VOLDATAG,5a685ca12525b999759211d7
17,TRVGRP-ECH-1a3fc42d5a,ASSURANCES,2,VOLDATAG,5a685ca12525b999759211da
