,TID,Version,Volume,_id,name,path,rights
0,ba43beb2-ef53-46f8-fb-b1-b2be43ba53ef,2,VOLDATAH,5a67c1c62525b99975919ef0,.CN=MUO535.OU=AUDIT.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME,rwcefm
1,3d45d9c0-55da-4b58-a6-80-c0d9453dda55,2,VOLDATAH,5a67c1c62525b99975919ef2,.CN=LMPR.OU=COMMUNICATION.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/LMPR,rwcefm
2,79716812-0394-40e8-ea-ba-126871799403,2,VOLDATAH,5a67c1c62525b99975919ef4,.CN=HBW809.OU=DIR-GENERALE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/CCAO,rwcefm
3,55d81798-ce1b-40b9-44-bd-9817d8551bce,2,VOLDATAH,5a67c1c62525b99975919ef6,.CN=MFR349.OU=CONSOLIDATION.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AMLI,rwcefm
4,65626cd6-b30a-4ccb-2e-b7-d66c62650ab3,2,VOLDATAH,5a67c1c62525b99975919ef8,.CN=STEARTH3.OU=DIR-GENERALE.OU=BOLLORE.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/STEARTH3,rwcefm
5,33914ecf-f4d7-4148-5c-ac-cf4e9133d7f4,2,VOLDATAH,5a67c1c62525b99975919efa,.CN=KLBE.OU=BOLLOREMEDIAREGIE.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/KLBE,rwcefm
6,e9e9f241-5d3c-4c0c-33-bb-41f2e9e93c5d,2,VOLDATAH,5a67c1c62525b99975919efc,.CN=PIGISTE2.OU=BOLLOREMEDIADIGITAL.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/PIGISTE2,rwceafm
7,b352b28b-0dcc-4a75-e2-bd-8bb252b3cc0d,2,VOLDATAH,5a67c1c62525b99975919efe,.CN=CVIT.OU=BOLLOREMEDIAREGIE.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/CVIT,rwceafm
8,1b7012de-c885-4b4a-88-8c-de12701b85c8,2,VOLDATAH,5a67c1c62525b99975919f00,.CN=OLL635.OU=BOLLOREMEDIAREGIE.OU=MEDIA.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AAIE,rwcefm
9,3ce0a180-5fa1-11dc-9c-65-00065bf0bb66,2,VOLDATAH,5a67c1c62525b99975919f02,.CN=VSD421.OU=IRIS.OU=PTX.O=GB1.T=CERAMIC_TREE.,/HOME/AANR,rwceafm
