,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
0,TRVGRP--d41d8cd98f,,,,2,VOLDATAH,5a685d0e2525b99975921f12
1,TRVGRP-HOM-12f61ce262,TRVGRP--d41d8cd98f,,/HOME,2,VOLDATAH,5a685d0e2525b99975921f15
2,TRVGRP-HOMCGS-820f8a4058,TRVGRP-HOM-12f61ce262,/HOME,/HOME/CGSD,2,VOLDATAH,5a685d0e2525b999759220aa
3,TRVGRP-HOMCMBexL-3345f969d1,TRVGRP-HOMCMB-1dc9892d30,/HOME/CMBL,/HOME/CMBL/exLDHM,2,VOLDATAH,5a685d0e2525b999759220b1
4,TRVGRP-HOMCMB-1dc9892d30,TRVGRP-HOM-12f61ce262,/HOME,/HOME/CMBL,2,VOLDATAH,5a685d0e2525b999759220b4
5,TRVGRP-HOMREG-0d812a0df6,TRVGRP-HOM-12f61ce262,/HOME,/HOME/REGIE1,2,VOLDATAH,5a685d0f2525b99975922424
6,TRVGRP-HOMXDP-07f8a18ebc,TRVGRP-HOM-12f61ce262,/HOME,/HOME/XDPD,2,VOLDATAH,5a685d0f2525b99975922599
7,TRVGRP-HOMINV-c330acf1ec,TRVGRP-HOM-12f61ce262,/HOME,/HOME/INVENTAIRE,2,VOLDATAH,5a685d102525b99975922a30
8,TRVGRP-HOMICURES-a070fa2017,TRVGRP-HOMICU-0b80f915c9,/HOME/ICUN,/HOME/ICUN/RESTAURATION G-Bernier,2,VOLDATAH,5a685d102525b99975922a43
9,TRVGRP-HOMICU-0b80f915c9,TRVGRP-HOM-12f61ce262,/HOME,/HOME/ICUN,2,VOLDATAH,5a685d102525b99975922a46
