DN,group,uid,ou
"cn=ais_sete,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,ais_sete,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Delaforest_m,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Delaforest_m,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Voron_a,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Voron_a,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Timon_j,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Timon_j,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Magania_p,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Magania_p,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Lezin_g,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Lezin_g,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Lesgourgues_jj,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Lesgourgues_jj,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Grandin_p,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Grandin_p,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Friboulet_p,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Friboulet_p,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Costa_a,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Costa_a,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
"cn=Cara_j,ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR",grp-Users_CAPIT,Cara_j,"ou=Users_CAPIT,ou=SETE,ou=CR-DISTANTS,o=CR"
