,Filter,Path,Version,Volume,_id
0,,/,2,vmposeteCRAC,5a7193198b35cb93226c5784
1,s,/~DFSINFO.8-P,2,vmposeteCRAC,5a7193198b35cb93226c5786
2,s,/._NETWARE,2,vmposeteCRAC,5a7193198b35cb93226c5788
3,s,/Datas,2,vmposeteCRAC,5a7193198b35cb93226c578c
4,s,/Homedir,2,vmposeteCRAC,5a7193198b35cb93226c578e
5,s,/Datas/Direction,2,vmposeteCRAC,5a7193198b35cb93226c5792
6,s,/Datas/Service,2,vmposeteCRAC,5a7193198b35cb93226c5796
7,s,/Homedir/Carpentier_m,2,vmposeteCRAC,5a7193198b35cb93226c579a
8,s,/Homedir/Noel_c,2,vmposeteCRAC,5a7193198b35cb93226c579e
9,s,/Homedir/Redon_k,2,vmposeteCRAC,5a7193198b35cb93226c57a2
10,s,/Homedir/Rossignol_v,2,vmposeteCRAC,5a7193198b35cb93226c57a6
11,s,/Homedir/Siess_f,2,vmposeteCRAC,5a7193198b35cb93226c57aa
12,s,/Homedir/testcrac,2,vmposeteCRAC,5a7193198b35cb93226c57ac
13,s,/Homedir/Tissier_n,2,vmposeteCRAC,5a7193198b35cb93226c57ae
14,s,/Homedir/Bonjour_p,2,vmposeteCRAC,5a7193198b35cb93226c57b2
15,s,/Homedir/Caumet_s,2,vmposeteCRAC,5a7193198b35cb93226c57b8
16,s,/._NETWARE/.trustee_database.xml,2,vmposeteCRAC,5a7193198b35cb93226c57ba
