,MemberOf,SAMAccountName,Version,Volume,_id
0,TRVGRP--d41d8cd98f,grp-Users_CRAC,2,vmposeteCRAC,5a7193f78b35cb93226c5ad3
1,TRVGRP-Dat-5bbb4c1838,R_CRAC_Direction,2,vmposeteCRAC,5a7193f78b35cb93226c5ad5
2,TRVGRP-Dat-5bbb4c1838,grp-Users_CRAC,2,vmposeteCRAC,5a7193f78b35cb93226c5ad7
3,TRVGRP-Hom-89cfcd73d3,Carpentier_m,2,vmposeteCRAC,5a7193f78b35cb93226c5ad9
4,TRVGRP-Hom-89cfcd73d3,Noel_c,2,vmposeteCRAC,5a7193f78b35cb93226c5adb
5,TRVGRP-Hom-89cfcd73d3,Redon_k,2,vmposeteCRAC,5a7193f78b35cb93226c5add
6,TRVGRP-Hom-89cfcd73d3,Rossignol_v,2,vmposeteCRAC,5a7193f78b35cb93226c5adf
7,TRVGRP-Hom-89cfcd73d3,Siess_f,2,vmposeteCRAC,5a7193f78b35cb93226c5ae1
8,TRVGRP-Hom-89cfcd73d3,Bonjour_p,2,vmposeteCRAC,5a7193f78b35cb93226c5ae3
9,TRVGRP-Hom-89cfcd73d3,Comito_m,2,vmposeteCRAC,5a7193f78b35cb93226c5ae5
10,TRVGRP-Hom-89cfcd73d3,Caumet_s,2,vmposeteCRAC,5a7193f78b35cb93226c5ae7
