,TID,Version,Volume,_id,name,path,rights
0,ffa623c7-f0b3-4c59-78-94-c723a6ffb3f0,2,vmposeteREGY,5a7193278b35cb93226c57da,.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas,rf
1,ffa623c7-f0b3-4c59-78-94-c723a6ffb3f0,2,vmposeteREGY,5a7193278b35cb93226c57e0,.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Commun_Sete,rwcefm
2,5ef602b4-5f46-48a4-b0-88-b402f65e465f,2,vmposeteREGY,5a7193278b35cb93226c57e2,.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Commun_Sete,rwcefm
3,ffa623c7-f0b3-4c59-78-94-c723a6ffb3f0,2,vmposeteREGY,5a7193288b35cb93226c57e4,.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/APPLIS,rwcefm
4,5ef602b4-5f46-48a4-b0-88-b402f65e465f,2,vmposeteREGY,5a7193288b35cb93226c57e6,.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/APPLIS,rwcefm
5,61973543-4b4d-40a5-30-97-433597614d4b,2,vmposeteREGY,5a7193288b35cb93226c57e8,.CN=Morrier_s.OU=Users.OU=PLN.OU=CR-DISTANTS.O=CR.T=RLR.,/Homedir/Morrier_s,rwceafm
6,ffa623c7-f0b3-4c59-78-94-c723a6ffb3f0,2,vmposeteREGY,5a7193288b35cb93226c57ea,.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Commun,rwcefm
7,df230570-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57ee,.CN=Dev_Programmation.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement,rf
8,d4fc7310-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57f0,.CN=Dev_prospective.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement,rf
9,ca4894d0-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57f2,.CN=Dev_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement,rwcefm
10,eaa99d00-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57f4,.CN=Dev_subdivision.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement,rf
11,fc651a60-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57f8,.CN=Infra_etudes.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure,rf
12,04802550-1b21-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57fa,.CN=Infra_pilotage.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure,rf
13,f4561d60-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c57fc,.CN=Infra_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure,rwcefm
14,5ae2e2d0-1e5e-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5800,.CN=Apisoft.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/APISOFT,rwcefm
15,df230570-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5804,.CN=Dev_Programmation.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Programmation,rwcefm
16,ca4894d0-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5806,.CN=Dev_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Programmation,rwcefm
17,d4fc7310-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c580a,.CN=Dev_prospective.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Prospective,rwcefm
18,ca4894d0-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c580c,.CN=Dev_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Prospective,rwcefm
19,ca4894d0-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5810,.CN=Dev_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Service,rwcefm
20,ca4894d0-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5814,.CN=Dev_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Subdivision,rwcefm
21,eaa99d00-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5816,.CN=Dev_subdivision.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Subdivision,rwcefm
22,0b0ba85d-8b82-42ea-9a-83-5da80b0b828b,2,vmposeteREGY,5a7193288b35cb93226c581a,.CN=Triton.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Developpement/Prospective/Triton,rwcefm
23,fc651a60-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c581e,.CN=Infra_etudes.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/Etudes,rwcefm
24,f4561d60-1b20-01dc-80-be-00145e3c3f79,2,vmposeteREGY,5a7193288b35cb93226c5820,.CN=Infra_service.OU=Users_REGY.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/Etudes,rwcefm
