,MemberOf,SAMAccountName,Version,Volume,_id
0,TRVGRP--d41d8cd98f,grp-Users_REGY,2,vmposeteREGY,5a7194108b35cb93226c5cb5
1,TRVGRP--d41d8cd98f,grp-Users_RICHELIEU,2,vmposeteREGY,5a7194108b35cb93226c5cbc
2,TRVGRP-Hom-89cfcd73d3,Morrier_s,2,vmposeteREGY,5a7194108b35cb93226c5cc6
3,TRVGRP-Dat-5bbb4c1838,grp-Users_REGY,2,vmposeteREGY,5a7194108b35cb93226c5cc9
4,TRVGRP-Dat-5bbb4c1838,Dev_Programmation,2,vmposeteREGY,5a7194108b35cb93226c5ccc
5,TRVGRP-Dat-5bbb4c1838,Dev_prospective,2,vmposeteREGY,5a7194108b35cb93226c5ccf
6,TRVGRP-Dat-5bbb4c1838,Dev_service,2,vmposeteREGY,5a7194108b35cb93226c5cd2
7,TRVGRP-Dat-5bbb4c1838,Dev_subdivision,2,vmposeteREGY,5a7194108b35cb93226c5cd5
8,TRVGRP-Dat-5bbb4c1838,Infra_etudes,2,vmposeteREGY,5a7194108b35cb93226c5cd8
9,TRVGRP-Dat-5bbb4c1838,Infra_pilotage,2,vmposeteREGY,5a7194108b35cb93226c5cdb
10,TRVGRP-Dat-5bbb4c1838,Infra_service,2,vmposeteREGY,5a7194108b35cb93226c5cde
11,TRVGRP-Dat-5bbb4c1838,Apisoft_REGY,2,vmposeteREGY,5a7194108b35cb93226c5ce1
12,TRVGRP-DatDev-5c094fae1c,Dev_Programmation,2,vmposeteREGY,5a7194108b35cb93226c5ce4
13,TRVGRP-DatDev-5c094fae1c,Dev_service,2,vmposeteREGY,5a7194108b35cb93226c5ce6
14,TRVGRP-DatDev-5c094fae1c,Dev_prospective,2,vmposeteREGY,5a7194108b35cb93226c5ce8
15,TRVGRP-DatDev-5c094fae1c,Dev_subdivision,2,vmposeteREGY,5a7194108b35cb93226c5ced
16,TRVGRP-DatDevPro-461f4f70b4,Triton,2,vmposeteREGY,5a7194108b35cb93226c5cef
17,TRVGRP-DatInf-1ac517a9ef,Infra_etudes,2,vmposeteREGY,5a7194108b35cb93226c5cf1
18,TRVGRP-DatInf-1ac517a9ef,Infra_service,2,vmposeteREGY,5a7194108b35cb93226c5cf3
19,TRVGRP-DatInf-1ac517a9ef,Infra_pilotage,2,vmposeteREGY,5a7194108b35cb93226c5cf5
20,TRVGRP-Hom-89cfcd73d3,Benedetto-regy,2,vmposeteREGY,5a7194108b35cb93226c5cf9
21,TRVGRP-Hom-89cfcd73d3,Bosch_jp,2,vmposeteREGY,5a7194108b35cb93226c5cfc
22,TRVGRP-Hom-89cfcd73d3,Bremond-Laux_d,2,vmposeteREGY,5a7194108b35cb93226c5cff
23,TRVGRP-Hom-89cfcd73d3,Cazenave_f,2,vmposeteREGY,5a7194108b35cb93226c5d02
24,TRVGRP-Hom-89cfcd73d3,Chalut-natal_jl,2,vmposeteREGY,5a7194108b35cb93226c5d05
25,TRVGRP-Hom-89cfcd73d3,Chassary_mh,2,vmposeteREGY,5a7194108b35cb93226c5d08
26,TRVGRP-Hom-89cfcd73d3,Chevalier_m,2,vmposeteREGY,5a7194108b35cb93226c5d0b
27,TRVGRP-Hom-89cfcd73d3,Clastre_mc,2,vmposeteREGY,5a7194108b35cb93226c5d0e
28,TRVGRP-Hom-89cfcd73d3,Dronneau_m,2,vmposeteREGY,5a7194108b35cb93226c5d11
29,TRVGRP-Hom-89cfcd73d3,Gallon_d,2,vmposeteREGY,5a7194108b35cb93226c5d14
30,TRVGRP-Hom-89cfcd73d3,Gautheret_p,2,vmposeteREGY,5a7194108b35cb93226c5d17
31,TRVGRP-Hom-89cfcd73d3,Guillaume_p,2,vmposeteREGY,5a7194108b35cb93226c5d1a
32,TRVGRP-Hom-89cfcd73d3,Le-Roux_j,2,vmposeteREGY,5a7194108b35cb93226c5d1d
33,TRVGRP-Hom-89cfcd73d3,Le-Roux_jy,2,vmposeteREGY,5a7194108b35cb93226c5d20
34,TRVGRP-Hom-89cfcd73d3,Max_o,2,vmposeteREGY,5a7194108b35cb93226c5d23
35,TRVGRP-Hom-89cfcd73d3,Miane_p,2,vmposeteREGY,5a7194108b35cb93226c5d26
36,TRVGRP-Hom-89cfcd73d3,Midoux_v,2,vmposeteREGY,5a7194108b35cb93226c5d29
37,TRVGRP-Hom-89cfcd73d3,Nougarede_n,2,vmposeteREGY,5a7194108b35cb93226c5d2c
38,TRVGRP-Hom-89cfcd73d3,Pietrobon_m,2,vmposeteREGY,5a7194108b35cb93226c5d2f
39,TRVGRP-Hom-89cfcd73d3,Recouvreur_g,2,vmposeteREGY,5a7194108b35cb93226c5d32
40,TRVGRP-Hom-89cfcd73d3,Roig_a,2,vmposeteREGY,5a7194108b35cb93226c5d35
41,TRVGRP-Hom-89cfcd73d3,Schwebel_m,2,vmposeteREGY,5a7194108b35cb93226c5d38
42,TRVGRP-Hom-89cfcd73d3,Stahl_p,2,vmposeteREGY,5a7194108b35cb93226c5d3b
43,TRVGRP-Hom-89cfcd73d3,Szczot_s,2,vmposeteREGY,5a7194108b35cb93226c5d3e
44,TRVGRP-Hom-89cfcd73d3,Taioni_c,2,vmposeteREGY,5a7194108b35cb93226c5d41
45,TRVGRP-Hom-89cfcd73d3,Master_seven,2,vmposeteREGY,5a7194108b35cb93226c5d44
46,TRVGRP-Hom-89cfcd73d3,Teule_i,2,vmposeteREGY,5a7194108b35cb93226c5d47
47,TRVGRP-Hom-89cfcd73d3,Vachey_g,2,vmposeteREGY,5a7194108b35cb93226c5d4a
48,TRVGRP-Hom-89cfcd73d3,Vielly_b,2,vmposeteREGY,5a7194108b35cb93226c5d4d
