,TID,Version,Volume,_id,name,path,rights
0,5ef602b4-5f46-48a4-b0-88-b402f65e465f,2,vmposeteRICHELIEU,5a7193368b35cb93226c5942,.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas,rwcefm
1,e092d043-b627-41be-d3-b8-43d092e027b6,2,vmposeteRICHELIEU,5a7193368b35cb93226c5948,.CN=DRHMarins.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/DRHMarins,rwcefm
2,ed8c0bf0-2301-01dc-80-be-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c594e,.CN=Infrastructure.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure,rwcefm
3,d4a0a6f0-2301-01dc-80-be-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c5952,.CN=DOM.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM,rwcefm
4,b3557aa0-3f41-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c5954,.CN=APISOFT.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/APISOFT,rwcefm
5,3f3f7620-3f41-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c5958,.CN=Armement.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/Armement,rwcefm
6,58c4d130-3f41-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c595c,.CN=Atelier.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/Atelier,rwcefm
7,d409fa00-3f41-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c5960,.CN=ComptaAna.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/ComptaAna,rwcefm
8,2b569c00-3f42-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c5964,.CN=GESTOPA.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/GESTOPA,rwcefm
9,5aa95330-3f42-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c5968,.CN=Loi_sur_l'eau.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/Loi sur l'eau,rwcefm
10,83be4060-3f41-01dc-80-07-00145e3c3f79,2,vmposeteRICHELIEU,5a7193368b35cb93226c596c,.CN=Ponts.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/Ponts,rwcefm
11,4c1e5dec-a596-473b-a1-9e-ec5d1e4c96a5,2,vmposeteRICHELIEU,5a7193368b35cb93226c5970,.CN=Ponts_Personnel.OU=Users_RICHELIEU.OU=SETE.OU=CR-DISTANTS.O=CR.T=RLR.,/Datas/Infrastructure/DOM/Ponts/Personnel,rwcefm
