,MemberOf,SAMAccountName,Version,Volume,_id
0,TRVGRP--d41d8cd98f,grp-Users_RICHELIEU,2,vmposeteRICHELIEU,5a7194178b35cb93226c5eec
1,TRVGRP--d41d8cd98f,DRHMarins,2,vmposeteRICHELIEU,5a7194178b35cb93226c5ef1
2,TRVGRP-Dat-5bbb4c1838,Infrastructure,2,vmposeteRICHELIEU,5a7194178b35cb93226c5ef6
3,TRVGRP-DatInf-1ac517a9ef,DOM,2,vmposeteRICHELIEU,5a7194178b35cb93226c5efa
4,TRVGRP-DatInfDOM-f855f98efb,APISOFT_RICHELIEU,2,vmposeteRICHELIEU,5a7194178b35cb93226c5efd
5,TRVGRP-DatInfDOM-f855f98efb,Armement,2,vmposeteRICHELIEU,5a7194178b35cb93226c5eff
6,TRVGRP-DatInfDOM-f855f98efb,Atelier,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f01
7,TRVGRP-DatInfDOM-f855f98efb,ComptaAna,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f03
8,TRVGRP-DatInfDOM-f855f98efb,GESTOPA,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f05
9,TRVGRP-DatInfDOM-f855f98efb,Loi_sur_l'eau,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f07
10,TRVGRP-DatInfDOM-f855f98efb,Ponts,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f09
11,TRVGRP-DatInfDOMPon-2cb234f088,Ponts_Personnel,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f0b
12,TRVGRP-Hom-89cfcd73d3,Auvergne_k,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f0d
13,TRVGRP-Hom-89cfcd73d3,Bertrand_m,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f11
14,TRVGRP-Hom-89cfcd73d3,Brothier_c,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f15
15,TRVGRP-Hom-89cfcd73d3,Busicchia_c,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f19
16,TRVGRP-Hom-89cfcd73d3,Caminade_e,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f1d
17,TRVGRP-Hom-89cfcd73d3,Dom-armement,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f21
18,TRVGRP-Hom-89cfcd73d3,Dom-atelier,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f25
19,TRVGRP-Hom-89cfcd73d3,Dom-ponts,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f29
20,TRVGRP-Hom-89cfcd73d3,Fournier_f,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f2d
21,TRVGRP-Hom-89cfcd73d3,Gallinaro_r,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f31
22,TRVGRP-Hom-89cfcd73d3,Laguens_jm,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f35
23,TRVGRP-Hom-89cfcd73d3,Lombardo_jm,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f39
24,TRVGRP-Hom-89cfcd73d3,Loup_j,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f3d
25,TRVGRP-Hom-89cfcd73d3,Notardonato_j,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f41
26,TRVGRP-Hom-89cfcd73d3,Nouailles_a,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f45
27,TRVGRP-Hom-89cfcd73d3,Olascuaga_c,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f49
28,TRVGRP-Hom-89cfcd73d3,Potin_a,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f4d
29,TRVGRP-Hom-89cfcd73d3,Scaphandrier,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f51
30,TRVGRP-Hom-89cfcd73d3,Talon_r,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f55
31,TRVGRP-Hom-89cfcd73d3,Master_seven,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f59
32,TRVGRP-Hom-89cfcd73d3,Tudesq_jf,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f5d
33,TRVGRP-Hom-89cfcd73d3,Urosevic_m,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f61
34,TRVGRP-Hom-89cfcd73d3,Bohec_k,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f65
35,TRVGRP-Hom-89cfcd73d3,Mougin_t,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f69
36,TRVGRP-Hom-89cfcd73d3,Roustan_r,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f6d
37,TRVGRP-Hom-89cfcd73d3,Aigoin_k,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f71
