GroupeAD,samAccountName,nombre de membres
Fichiers_0009,archmed,6
GRP_ateladmintravaux,ateladmintravaux,7
GRP_biosecr,biosecr,10
GRP_cap ii 1er,capii1er,2
PartageCap2Rdc,PartageCap2Rdc,2
GRP_cap1_self,cap1_self,2
GRP_developp_info,developp_info,5
GRP_dirsecr,dirsecr,9
GRP_dirsecr_dam,dirsecr_dam,4
GRP_ecomag,ecomag,2
PartageEconomat,economat,17
PartageEquipe direction elargie,equipedirectionelargie,13
GRP_formation,formation,34
GRP_imprompt_user_new,imprompt_user_new,84
GRP_impromptu_admin,impromptu_admin,2
GRP_impromptu_extraits,impromptu_extraits,9
Partage_Patient_Traceur_Chemin_Clinique,Partage_Patient_Traceur_Chemin_Clinique,11
Partage_securite_chefs_equipe,Partage_securite_chefs_equipe,8
Partage_aahm,partageaahm,3
Partage_AnimationCRIII,partageanimationcriii,11
Partage_CRIII,Partage_CRIII,51
partagecriiidocspartagess3000,partagecriiidocspartagess3000,10
Partage_Disco,PartageDisco,9
partagegouvernantscr3diets,partagegouvernantscr3diets,8
PartageNchpg,PartageNchpg,20
PartageProjet ETP,PartageProjetETP,42
partagepsy_bip_ect_rtms,partagepsy_bip_ect_rtms,26
partagepsy_bip_ect_rtms_lecture,partagepsy_bip_ect_rtms_lecture,2
GRP_persecrt,persecrt,20
GRP_photos_chpg,photos_chpg,4
GRP_photos_chpg_rw,photos_chpg_rw,7
GRP_plan_blanc,plan_blanc,5
GRP_planning_pmsi,planning_pmsi,4
GRP_qietudine,qietudine,42
GRP_recettes,recettes,12
GRP_s0008,s0008,12
GRP_s0032,s0032,2
GRP_s0041,s0041,9
GRP_s0073,s0073,16
GRP_s0078,s0078,20
GRP_s0079,s0079,27
GRP_s0082,s0082,18
GRP_s0082_depistage,s0082_depistage,63
GRP_s0084,s0084,16
GRP_s0086,s0086,23
GRP_s0093,s0093,13
GRP_s0094,s0094,11
GRP_s0222,s0222,4
GRP_s0224,s0224,61
GRP_s0230,s0230,9
GRP_s0272,s0272,14
GRP_s0279,s0279,10
GRP_s0295,s0295,11
GRP_s0400,s0400,46
GRP_s0402,s0402,4
GRP_s0404,s0404,10
GRP_s0410_mgmt,s0410_mgmt,4
GRP_s0410_secretariat,s0410_secretariat,113
GRP_s0412,s0412,23
GRP_s0416,s0416,14
GRP_s0420,s0420,19
GRP_s0421,s0421,10
GRP_s0422,s0422,6
GRP_s0423,s0423,11
GRP_s0424,s0424,2
GRP_s0430,s0430,23
GRP_s0432,s0432,3
GRP_s0440,s0440,3
GRP_s0441,s0441,2
GRP_s0442,s0442,3
GRP_s0443,s0443,3
GRP_s0445,s0445,7
GRP_s0458,s0458,2
GRP_s0459,s0459,2
GRP_s0460,s0460,11
GRP_s0464,s0464,6
GRP_s0465,s0465,6
GRP_s0470,s0470,7
GRP_s0473,s0473,4
GRP_s0476,s0476,3
GRP_s0478,s0478,2
GRP_s0479,s0479,5
GRP_s0483,s0483,5
GRP_s0490,s0490,3
GRP_s0490_etudiant,s0490_etudiant,106
GRP_s0490m,s0490m,10
GRP_s0492,s0492,5
GRP_s0494,s0494,6
GRP_s0700,s0700,4
GRP_s0701,s0701,5
GRP_s0702,s0702,3
GRP_s0703,s0703,4
GRP_s0704,s0704,9
GRP_s0705,s0705,5
GRP_s0706,s0706,62
GRP_s0707,s0707,2
GRP_s0710,s0710,3
GRP_s0711,s0711,2
GRP_s0712,s0712,3
GRP_s0720,s0720,6
Fichiers_0721,s0721,4
GRP_s0723,s0723,2
GRP_s0730,s0730,2
GRP_s0740,s0740,3
GRP_s0762,s0762,2
GRP_s0770,s0770,2
GRP_s0772,s0772,63
GRP_s0775,s0775,6
GRP_s0777,s0777,3
GRP_s0780,s0780,4
GRP_s0791,s0791,2
GRP_s0792,s0792,2
GRP_s0848,s0848,3
GRP_s0852,s0852,100
GRP_S1087,S1087,12
GRP_s2000,s2000,10
GRP_s3000,s3000,12
GRP_s3001,s3001,0
GRP_s3038,s3038,0
GRP_s3087,s3087,6
GRP_s3100,s3100,70
GRP_s3104,s3104,0
GRP_s3105,s3105,0
GRP_s3110,s3110,0
GRP_s3210,s3210,0
GRP_s3214,s3214,0
GRP_s3219,s3219,0
GRP_s3220,s3220,0
GRP_s3230,s3230,9
GRP_s3232,s3232,25
GRP_s3235,s3235,70
GRP_s3250,s3250,0
GRP_s3270,s3270,0
GRP_s3279,s3279,0
GRP_s3312,s3312,0
GRP_s3313,s3313,0
GRP_s3314,s3314,0
GRP_s3315,s3315,0
GRP_s3320,s3320,2
GRP_s3400,s3400,17
GRP_s3408,s3408,0
GRP_s3417,s3417,4
GRP_s3420,s3420,0
GRP_s3451,s3451,0
GRP_s3453,s3453,0
GRP_s3454,s3454,0
GRP_s3460,s3460,17
GRP_s3464,s3464,72
GRP_s3469,s3469,73
GRP_S3473,S3473,0
GRP_s3710,s3710,39
GRP_s3711,s3711,44
GRP_s3720,s3720,115
GRP_s3730,s3730,46
GRP_s3740,s3740,40
GRP_s3750,s3750,47
GRP_s3760,s3760,41
GRP_s3770,s3770,34
GRP_s3771,s3771,0
Partage_Saphirs,saphirs,66
GRP_sgap,sgap,15
GRP_sgap_boss,sgap_boss,2
Partage_Simbio,simbio,18
GRP_survpool,survpool,62
GRP_urgence_restreint,urgence_restreint,42
GRP_urgences,urgences,2
GRP_atelboss,atelboss,3
GRP_ateliers,ateliers,37
GRP_atelmarches,atelmarches,5
GRP_be,be,11
GRP_s0854,s0854,0
PartageTamaris,PartageTamaris,20
Partagecriii-adm-anim,Partagecriii-adm-anim,17
GRP_s0000,s0000,0
GRP_s0001,s0001,0
GRP_s0002,s0002,0
GRP_s0003,s0003,0
GRP_s0004,s0004,0
GRP_s0005,s0005,0
GRP_s0006,s0006,0
GRP_s0007,s0007,0
GRP_s0009,s0009,0
GRP_s0010,s0010,0
GRP_s0011,s0011,0
GRP_s0012,s0012,0
GRP_s0013,s0013,0
GRP_s0014,s0014,0
GRP_s0015,s0015,0
GRP_s0016,s0016,0
GRP_s0018,s0018,0
GRP_s0019,s0019,0
GRP_s0020,s0020,0
GRP_s0021,s0021,0
GRP_s0022,s0022,0
GRP_s0023,s0023,0
GRP_s0024,s0024,0
GRP_s0025,s0025,0
GRP_s0030,s0030,0
GRP_s0031,s0031,0
GRP_s0034,s0034,0
GRP_s0039,s0039,0
GRP_s0040,s0040,0
GRP_s0070,s0070,0
GRP_s0074,s0074,0
GRP_s0075,s0075,0
GRP_s0087,s0087,0
GRP_s0088,s0088,0
GRP_s0089,s0089,0
GRP_s0090,s0090,71
GRP_s0091,s0091,0
GRP_s0092,s0092,0
GRP_s0097,s0097,0
GRP_s0100,s0100,0
GRP_s0104,s0104,0
GRP_s0105,s0105,0
GRP_s0109,s0109,0
GRP_s0110,s0110,0
GRP_s0119,s0119,0
GRP_s0120,s0120,0
GRP_s0150,s0150,0
GRP_s0199,s0199,0
GRP_s0200,s0200,0
GRP_s0210,s0210,0
GRP_s0211,s0211,0
GRP_s0212,s0212,0
GRP_s0213,s0213,0
GRP_s0214,s0214,0
GRP_s0218,s0218,0
GRP_s0219,s0219,0
GRP_s0220,s0220,0
GRP_s0221,s0221,0
GRP_s0223,s0223,0
GRP_s0225,s0225,0
GRP_s0226,s0226,0
GRP_s0227,s0227,0
