GroupeeDir,nombre de membres
*BLANK,30
*SYS,0
0000,7
0001,0
0002,9
0003,14
0004,24
0005,48
0006,35
0007,17
0008,19
0009,0
0010,0
0013,0
0014,0
0017,36
0020,50
0021,0
0022,0
0023,5
0024,5
0025,9
0030,0
0031,20
0032,8
0033,3
0034,7
0035,2
0038,48
0039,0
0040,0
0041,15
0071,19
0073,18
0076,31
_0077,3
0078,38
0079,45
0080,31
0081,16
0082,38
0083,29
0084,19
0085,14
0086,40
0087,2
0088,7
0089,14
0090,31
0091,66
0092,0
0093,10
0094,27
0100,0
0104,0
0105,0
0109,0
0110,0
0119,59
0120,0
0150,0
0199,11
0200,0
0210,1
0212,28
0214,0
0218,0
0219,15
0220,54
0221,0
0222,47
0223,13
0224,1
0225,6
0226,0
0227,6
0228,0
0230,85
0231,7
0232,131
0233,6
0234,2
0240,0
0250,32
0260,4
0261,0
0262,11
0263,0
0264,0
0270,32
0271,28
0272,19
0273,6
0274,3
0275,4
0276,2
0277,1
0278,0
0279,26
0280,2
0281,0
0282,0
0283,0
0290,2
0295,9
0301,8
0302,2
0306,4
0312,1
0313,0
0314,0
0315,0
0316,0
0320,1
0400,80
0401,27
0402,11
0404,14
0405,0
0406,1
0410,116
0411,41
0412,35
0414,2
0415,0
0416,18
0417,5
0418,0
0420,40
0421,16
0422,23
0423,24
0424,4
0425,0
0427,0
0428,2
0430,31
0431,17
0432,17
0439,1
0440,51
0441,27
0442,6
0443,18
0444,0
0445,38
0446,1
0447,1
0448,1
0449,0
0451,0
0452,13
0453,14
0454,18
0455,0
0456,3
0457,3
0458,3
0459,1
0460,47
0461,0
0463,5
0464,5
0465,4
0466,4
0467,3
0468,3
0469,0
0470,18
0471,17
0472,0
0473,10
0474,5
0475,16
0477,0
0478,4
0479,7
0480,86
0482,5
0483,20
0490,32
0491,1
0492,4
0494,22
0496,7
0497,4
0498,0
0499,4
0500,0
0501,0
0503,0
0504,0
0505,0
0506,0
0507,0
0520,0
0521,0
0522,0
0523,0
0530,0
0531,0
0532,0
0533,0
0534,0
0535,0
0536,0
0537,0
0700,38
0701,34
0702,32
0703,34
0704,50
0705,41
_0706,1
0707,42
0710,35
0711,33
0712,7
0717,0
0718,0
0719,57
0720,28
0721,37
0722,28
0723,16
0730,49
0740,35
0750,0
0751,0
0752,0
0753,0
0754,0
0755,0
0756,0
0757,0
0758,0
0759,1
_0761,2
_0762,2
_0763,3
0770,27
0771,2
0772,4
0775,36
0776,27
0777,28
0778,0
0780,16
0781,0
0791,22
0792,36
0794,10
0800,0
0809,0
0810,40
0840,0
0841,26
0843,5
0845,5
0846,8
0847,6
0848,20
0849,4
0850,10
0851,3
0852,3
0853,2
0854,1
0855,2
0856,2
0900,0
0901,0
0902,0
0903,0
0904,0
0907,0
0910,0
0911,0
0912,0
0913,0
0915,0
0920,0
0921,0
0923,0
0930,0
0940,0
0960,0
0970,0
0972,0
0980,0
0981,0
0982,0
0983,0
0984,0
0986,0
0987,0
0995,0
0999,0
1000,10
1003,18
1030,0
1038,2
1119,11
1210,1
1223,0
1230,14
1231,0
1232,0
1240,6
1260,0
1270,1
1280,1
1290,2
1300,0
1314,0
1315,0
1320,2
1410,0
1460,3
1700,0
1710,41
1720,20
1730,20
1740,0
1751,2
1752,0
1753,0
2000,18
2038,0
2100,0
2104,0
2105,0
2109,0
2110,0
2119,0
2120,0
2220,0
2223,0
2230,12
2231,0
2232,22
2240,1
2260,0
2270,1
2279,4
2280,0
2290,0
2310,0
2313,0
2314,0
2320,4
2400,2
2460,1
2470,0
2700,36
2710,1
2720,1
2730,1
2740,1
2999,0
3000,41
3001,0
3038,28
3087,27
3100,0
3104,0
3105,0
3110,0
3210,0
3214,0
3219,0
3220,0
3230,10
3232,101
3235,0
3250,0
3270,4
3279,2
3312,1
3313,0
3314,0
3315,0
3320,10
3400,0
3408,1
3417,2
3420,0
3451,0
3453,0
3454,0
3460,17
3464,0
3469,3
3473,0
3710,41
3711,48
3720,58
3730,56
3740,49
3750,53
3760,37
3770,51
3771,0
CCT,0
EKD,0
0434,0
0508,0
0604,0
0670,0
0671,0
0672,0
0782,1
0610,0
