user,uid,path,trustee,appliesto
.CN=Info.OU=HDV.O=ANNECY.T=MRY.,GG_Info,\,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Agenda-21.OU=HDV.O=ANNECY.T=MRY.,GG_Agenda-21,\Agenda 21,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Arcadium.OU=HDV.O=ANNECY.T=MRY.,GG_Arcadium,\Arcadium,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Arcadiumgestion.OU=HDV.O=ANNECY.T=MRY.,GG_1-Arcadiumgestion,\Arcadium,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Cadre-Vie.OU=HDV.O=ANNECY.T=MRY.,GG_Cadre-Vie,\Cadre de Vie,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\ECHANGES,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-EPI.OU=HDV.O=ANNECY.T=MRY.,GG_1-EPI,\EPI,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Info.OU=HDV.O=ANNECY.T=MRY.,GG_Info,\INFO,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Syndic.OU=HDV.O=ANNECY.T=MRY.,GG_1-Syndic,\Liste Syndics Vieille Ville Autorisations de Travaux,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Logistique.OU=HDV.O=ANNECY.T=MRY.,GG_1-Logistique,\Logistique_événements,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
